ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1430598543.83054,template1,0,0,0,0,0,0,0,0,0,0
1430598543.83054,template0,0,0,0,0,0,0,0,0,0,0
1430598543.83054,postgres,0,1704,4,1645,67968,773942,20952,0,0,0
1430598543.83054,dbt2,13,307,0,38354,129224,2452265,27594,586130,802,1753
1430598603.84534,template1,0,0,0,0,0,0,0,0,0,0
1430598603.84534,template0,0,0,0,0,0,0,0,0,0,0
1430598603.84534,postgres,0,1706,4,1697,68745,775364,21372,0,0,0
1430598603.84534,dbt2,14,61309,293,65324,14659067,6564930,1952638,956127,698281,23953
1430598663.84738,template1,0,0,0,0,0,0,0,0,0,0
1430598663.84738,template0,0,0,0,0,0,0,0,0,0,0
1430598663.84738,postgres,0,1708,4,1724,68775,776278,21383,0,0,0
1430598663.84738,dbt2,16,111379,531,89588,38475609,13449588,3581537,1263686,1280278,41843
1430598723.86388,template1,0,0,0,0,0,0,0,0,0,0
1430598723.86388,template0,0,0,0,0,0,0,0,0,0,0
1430598723.86388,postgres,0,1710,4,1751,68805,777192,21394,0,0,0
1430598723.86388,dbt2,14,158595,742,178474,60321163,25602277,5193508,1551275,1828906,58870
1430598783.87132,template1,0,0,0,0,0,0,0,0,0,0
1430598783.87132,template0,0,0,0,0,0,0,0,0,0,0
1430598783.87132,postgres,0,1710,4,1751,68805,777192,21394,0,0,0
1430598783.87132,dbt2,15,216266,1007,260148,72704650,31178391,7159349,1903620,2488986,78750
1430598843.86616,template1,0,0,0,0,0,0,0,0,0,0
1430598843.86616,template0,0,0,0,0,0,0,0,0,0,0
1430598843.86616,postgres,0,1712,4,1778,68835,778106,21405,0,0,0
1430598843.86616,dbt2,17,267596,1217,358780,88171469,40931245,8924734,2215871,3073482,96232
1430598903.85844,template1,0,0,0,0,0,0,0,0,0,0
1430598903.85844,template0,0,0,0,0,0,0,0,0,0,0
1430598903.85844,postgres,0,1712,4,1778,68835,778106,21405,0,0,0
1430598903.85844,dbt2,16,298655,1356,506889,115389606,65548954,10000253,2405047,3428737,107082
1430598963.86785,template1,0,0,0,0,0,0,0,0,0,0
1430598963.86785,template0,0,0,0,0,0,0,0,0,0,0
1430598963.86785,postgres,0,1714,4,1805,68865,779020,21416,0,0,0
1430598963.86785,dbt2,15,358443,1614,675038,125381879,68634763,12085101,2768357,4118803,128558
1430599023.88431,template1,0,0,0,0,0,0,0,0,0,0
1430599023.88431,template0,0,0,0,0,0,0,0,0,0,0
1430599023.88431,postgres,0,1716,4,1832,68895,779934,21427,0,0,0
1430599023.88431,dbt2,16,417891,1881,808028,135495947,71566944,14157585,3129734,4799520,148948
1430599083.90342,template1,0,0,0,0,0,0,0,0,0,0
1430599083.90342,template0,0,0,0,0,0,0,0,0,0,0
1430599083.90342,postgres,0,1716,4,1832,68895,779934,21427,0,0,0
1430599083.90342,dbt2,17,467770,2100,948109,151164147,81008107,15898467,3435253,5375227,166108
1430599143.89445,template1,0,0,0,0,0,0,0,0,0,0
1430599143.89445,template0,0,0,0,0,0,0,0,0,0,0
1430599143.89445,postgres,0,1716,4,1832,68895,779934,21427,0,0,0
1430599143.89445,dbt2,15,506253,2291,1096145,171155093,97248649,17248047,3668731,5820371,179708
1430599203.98144,template1,0,0,0,0,0,0,0,0,0,0
1430599203.98144,template0,0,0,0,0,0,0,0,0,0,0
1430599203.98144,postgres,0,1720,4,1886,69821,780559,21951,0,0,0
1430599203.98144,dbt2,5,30,0,10131,24163,1620,1501,300222,0,0
